fileID,f1,f2,vot,notes
ne03_kaka,775.05,1800.65,28.66,
ne03_kaka1,819.80,1721.27,27.89,
ne03_kaka2,874.79,1258.82,37.55,
ne03_keke,633.62,2639.33,24.79,
ne03_keke1,568.52,1775.85,26.78,
ne03_keke2,561.43,2574.55,34.51,
ne03_kiki,518.13,2720.21,34.87,
ne03_kiki1,405.16,2103.06,72.39,
ne03_kiki2,374.28,2819.22,58.58,
ne03_koko,507.36,1070.34,46.07,
ne03_koko1,573.83,1215.24,32.24,
ne03_koko2,572.35,1092.16,33.24,
ne03_kuku,516.27,990.22,50.02,
ne03_kuku1,464.87,1071.73,53.72,
ne03_kuku2,416.11,1051.15,42.90,
ne03_paka,843.13,1789.76,11.33,
ne03_paka1,726.99,1835.40,23.64,
ne03_paka2,759.18,1893.59,9.87,
ne03_peke,549.08,1644.08,14.25,
ne03_peke1,731.06,2483.88,34.60,
ne03_peke2,601.62,2305.51,21.44,
ne03_piki,363.97,2630.40,7.16,
ne03_piki1,379.45,1974.35,40.42,
ne03_piki2,390.80,2172.07,20.91,
ne03_poko,636.77,1124.07,18.59,
ne03_poko1,582.25,1186.63,36.25,
ne03_poko2,594.39,1101.84,36.60,
ne03_puku,864.59,1329.04,27.27,
ne03_puku1,424.49,963.26,48.85,
ne03_puku2,499.12,1000.85,70.15,
ne03_taka,709.69,1714.55,25.41,
ne03_taka1,852.19,1735.09,22.36,
ne03_taka2,636.29,1195.12,14.82,
ne03_teke,576.55,1533.65,38.11,
ne03_teke1,574.13,1869.91,29.43,
ne03_teke2,564.35,1685.85,30.10,
ne03_tiki,460.87,2797.25,41.12,
ne03_tiki1,376.63,1571.16,75.79,
ne03_tiki2,408.44,1810.89,29.30,
ne03_toko,614.01,1107.13,34.87,
ne03_toko1,616.87,1191.14,32.97,
ne03_toko2,526.22,1037.89,27.27,
ne03_tuku,445.60,1097.52,48.43,
ne03_tuku1,428.93,1050.56,58.86,
ne03_tuku2,479.53,1119.27,45.57,
