fileID,f1,f2,vot,notes
bi03_kaka,1065.49,1898.90,18.97,
bi03_kaka1,843.40,1492.35,33.45,
bi03_kaka2,827.31,1656.47,23.82,
bi03_keke,805.69,2382.86,18.96,
bi03_keke1,525.85,2289.44,21.69,
bi03_keke2,427.52,2537.40,21.08,
bi03_kiki,412.84,2668.36,28.47,
bi03_kiki1,349.76,2708.11,30.10,
bi03_kiki2,351.04,2676.99,21.90,
bi03_koko,634.29,817.50,25.67,
bi03_koko1,560.79,897.36,29.83,
bi03_koko2,793.20,1136.59,30.77,
bi03_kuku,397.40,757.08,27.87,
bi03_kuku1,262.98,1677.78,28.10,
bi03_kuku2,412.73,830.54,32.91,
bi03_paka,1126.64,1699.90,9.72,
bi03_paka1,754.58,1621.90,9.57,
bi03_paka2,645.62,1778.83,11.85,
bi03_peke,453.69,1818.88,8.52,
bi03_peke1,558.49,2332.41,16.80,
bi03_peke2,879.90,2457.75,12.14,
bi03_piki,368.86,2700.15,24.39,
bi03_piki1,324.29,2810.79,14.64,
bi03_piki2,1642.07,2822.65,15.09,
bi03_poko,525.55,899.80,34.56,
bi03_poko1,621.84,1926.14,14.23,
bi03_poko2,515.50,870.04,20.44,
bi03_puku,467.85,573.87,19.60,
bi03_puku1,677.19,1576.38,38.72,
bi03_puku2,422.66,820.25,13.34,
bi03_taka,764.58,1639.52,18.00,
bi03_taka1,846.71,1640.28,12.51,
bi03_taka2,866.36,1522.94,16.03,
bi03_teke,466.25,2348.40,13.94,
bi03_teke1,452.71,2405.99,10.03,
bi03_teke2,447.59,2432.51,15.00,
bi03_tiki,357.10,2505.59,14.34,
bi03_tiki1,1019.02,2477.83,15.09,
bi03_tiki2,416.31,1909.45,22.92,
bi03_toko,797.87,942.76,11.03,
bi03_toko1,756.99,1112.79,16.45,
bi03_toko2,774.71,1049.99,11.77,
bi03_tuku,649.26,765.98,16.03,
bi03_tuku1,398.99,734.62,13.24,
bi03_tuku2,402.18,749.35,16.39,
