fileID,f1,f2,vot,notes
ne02_kaka,576.60,1423.68,35.84,
ne02_kaka1,912.03,2297.61,48.33,
ne02_kaka2,122.89,1500.31,39.05,
ne02_keke,466.68,2411.01,39.98,
ne02_keke1,470.18,2518.96,46.85,
ne02_keke2,505.60,2246.74,32.55,
ne02_kiki,356.08,2686.71,55.31,
ne02_kiki1,344.97,2771.94,51.35,
ne02_kiki2,319.24,2784.04,52.06,
ne02_koko,553.92,1041.41,48.80,
ne02_koko1,415.20,1024.60,29.84,
ne02_koko2,533.17,1077.73,35.26,
ne02_kuku,906.19,1144.99,59.68,
ne02_kuku1,295.08,1180.21,63.92,
ne02_kuku2,486.36,1140.01,53.71,
ne02_paka,762.72,1680.59,21.00,
ne02_paka1,863.92,1521.56,16.19,
ne02_paka2,1038.35,1783.26,10.45,
ne02_peke,543.97,2395.39,42.61,
ne02_peke1,517.62,2466.93,13.35,
ne02_peke2,529.25,2470.22,39.49,
ne02_piki,335.16,2620.67,19.18,
ne02_piki1,380.85,2713.42,12.66,
ne02_piki2,447.72,2642.90,13.37,
ne02_poko,584.13,1051.09,22.78,
ne02_poko1,937.98,2025.51,26.73,
ne02_poko2,521.35,1350.97,18.21,
ne02_puku,437.94,1055.74,26.58,
ne02_puku1,493.78,1208.57,38.23,
ne02_puku2,449.53,1261.95,23.69,
ne02_taka,839.67,1761.82,17.13,
ne02_taka1,828.31,1591.71,14.64,
ne02_taka2,798.28,1677.55,24.01,
ne02_teke,517.91,2374.80,22.16,
ne02_teke1,475.83,2483.23,27.89,
ne02_teke2,631.94,1893.39,28.51,
ne02_tiki,315.10,2892.01,29.64,
ne02_tiki1,311.89,2746.99,35.12,
ne02_tiki2,285.24,2662.92,28.00,
ne02_toko,489.69,996.93,29.83,
ne02_toko1,592.24,1152.42,44.42,
ne02_toko2,546.79,1017.98,28.51,
ne02_tuku,468.48,1302.43,26.04,
ne02_tuku1,444.23,1126.02,38.35,
ne02_tuku2,732.05,1468.70,38.71,
